"id","title","full_text"
18238,"Doing more with less","Home
      
                
        Blog
      
                
        Doing More With Less
      
        

      
               Doing more with less       How smart innovations accelerate justice delivery        
		 August 25, 2025

    
                                       
            
    



           In Ecuador, families affected by femicide worked with UNDP's Accelerator Lab to develop 'Flowers in the Air', a storytelling map that geolocates the stories of mudered women.     Photo: Nikoletta Marinelli, FundacÍon ALDEA     
                  

      Authors
  


                    
            
        
                                    
                
              
                                
                          
                Revai Makanje Aalbaek
              
                          
              
                UNDP Global Lead and Advisor, Rule of law, Justice and Security
              
                      
        
    
                    
            
        
                                    
                
              
                                
                          
                Gina Lucarelli
              
                          
              
                Team Leader, Accelerator Labs Network, UNDP

              
                      
        
    
                    
            
        
                                    
                
              
                                
                          
                Roman Meier
              
                          
              
                Justice Analyst, UNDP
              
                      
        
    
          
                                           People around the world experience countless injustices. From unpaid salaries to losing a home to illegal detention. When facing troubles, where does one go to seek justice? Especially if courts are far away, legal advice is expensive and delays are painful? More than five billion people(link is external), around two-thirds of the world’s population, lack meaningful access to formal justice systems.At the same time governments and institutions are under growing pressure, with more demands and fewer resources. Justice systems are no exception. Despite playing a vital role in keeping societies fair and stable, they receive just 1.4 percent of global development assistance(link is external). But what if we could make justice work better, faster and fairer by doing things differently? Good practices are already there. UNDP’s Justice Futures CoLab and Accelerator Labs are helping surface and scale them. We piloted peer learning to enhance justice services on the ground. Innovation in actionRethinking how people experience justice is at the heart of innovation. Low-cost, people-centred initiatives are already reshaping justice services, with UNDP playing a leading role in co-developing and scaling these solutions in close partnership with national institutions and communities.In Ecuador, families affected by femicide worked with the Accelerator Lab to develop 'Flowers in the Air', a storytelling map that geolocates the stories of women who were killed. These powerful narratives are now used to train judges and prosecutors, helping shift attitudes about gender-based violence. So far, over 450 judicial officials have been trained, and the model is expanding nationwide through a new online platform.In Eswatini(link is external), long transfer times between prisons and courts have contributed to growing pre-trial detention delays. Transporting detainees for brief weekly remand appearances was resource-intensive and costly. The Accelerator Lab and governance team worked with the judiciary to design a remote remand hearing system that connects police stations, the High Court, correctional centres, and magistrate courts via secure video link. This reduced the need to transport detainees, cut costs and improved court efficiency. Crucially, the team collaborated closely with the Office of the Chief Justice to ensure the digitalized procedures fit existing legal processes. It now covers all four High Courts and is being adapted for bail and plea hearings.In the Democratic Republic of Congo, poor record-keeping and long delays were common. An in-house justice reform programme, supported by the Accelerator Lab, developed a suite of open-source tools for prison management, case tracking, criminal record issuance and staff deployment. These three tools are now live in three provinces, where clerks report search times dropping from days to minutes. Justice authorities have asked the team to prepare a scale-up plan, and it is now seeking funding to expand the approach further.  
                   
            
    



           The powerful narratives of programmes such as 'Flowers in the Air' confront deeper, systemic challenges and imbalanced power dynamics.     Photo: Nikoletta Marinelli, FundacÍon ALDEA     
           From experiments to sustainable solutionsThese examples demonstrate that innovation works best when grounded in real life experiences and embedded in the day-to-day work of national institutions. While technology played a role, the most critical factor was the partnerships and trust built between communities, governments and justice actors.However, lasting change requires more than strong relationships and smart tools. It demands confronting deeper, systemic challenges, such as outdated regulations, imbalanced power dynamics and harmful social norms that hold justice systems back. For innovation to be sustainable it must be linked to broader reforms. Innovation also can’t happen in isolation. The most impactful initiatives emerged when justice, governance and digital development teams worked together. This delivered meaningful results at minimal cost, proving that innovation is a necessity for achieving more with less.What’s next? Looking forward, the goal is to scale what already works and build the infrastructure to sustain it. That means investing in shared tools, open digital platforms and continuous learning. The Justice Futures CoLab and Accelerator Labs will keep driving this forward, connecting innovators, amplifying country-led solutions, and exploring new areas like digital public goods and smarter ways to measure justice needs.Justice innovation isn’t a one-off experiment. It’s a long-term, collective effort to make justice more accessible, affordable and responsive for all.Ready to go further? Explore the Justice Innovation Collection(link is external) of the SDG Innovation Commons to access and share practical solutions, tools and ideas related to justice innovation. Join the community and help scale what works."
18236,"From Novel to Norm: Experimentation at the Tipping Point","Home
      
                
        Accelerator Labs
      
                
        Blog
      
                
        From Novel To Norm: Experimentation At The Tipping Point
      
        

      
                From Novel to Norm: Experimentation at the Tipping Point        
		 August 27, 2025

    
                                       
            
    



        
                  

      Authors
  


                    
            
        
                    
                          
                Lazar Pop Ivanov
              
                          
              
                Head of Experimentation, UNDP

              
                      
        
    
                    
            
        
                    
                          
                Cristhian Parra
              
                          
              
                Head of Experimentation, UNDP Paraguay Accelerator Lab

              
                      
        
    
                    
            
        
                    
                          
                Kristina Nikolić
              
                          
              
                Head of Experimentation
              
                      
        
    
                    
            
        
                    
                          
                Javier Antonio Brolo
              
                          
              
                Jefe de Experimentación, Laboratorio de Aceleración PNUD Guatemala
              
                      
        
    
                    
                      
        
                    
                          
                Eduardo Gustale
              
                          
              
                UNDP Accelerator Labs Global Team

              
                      
        
    
          
                                           A follow-up: from early experiments to an emerging normIn 2020, we embarked on an ambitious journey: introducing experimentation in 91 UNDP country offices as a tool for accelerating sustainable development. The premise was simple yet bold—by testing ideas in real-world contexts, learning from failures and successes, and then rapidly adapting, the UNDP Accelerator Labs Network could generate evidence-based solutions to complex development challenges. Five years later, experimentation is no longer a novel approach within UNDP, it is becoming a recognized and embedded practice. The numbers speak for themselves:   
                 
            
    



        
            In our previous blog, “The Promise of Experimentation for Development,” we reflected onwhat we learned when integrating experimentation into development. Now, we examine how experimentation is transitioning from one-off projects to a norm within UNDP, how it can become fully integrated into the core of UNDP's operations and functions, and how to contribute our learnings to the broader development ecosystem. The shift from periphery to coreFor experimentation to become institutionalized, it must move from the periphery of innovation teams into the core of programs, policies and decision-making frameworks. This shift can be understood through the lens of norm dynamics(link is external), a concept from international relations that explains how new practices become standard over time.  In norm dynamics, we track the emergence of norms (usually introduced by norm entrepreneurs who advocate for its adoption), to the norm cascade (more teams adopting experimental methods, creating momentum) and finally, internalization – when experimentation becomes widely accepted and expected. One pattern is increasingly clear within the Accelerator Labs Network: experimentation is transitioning from a new, emergent practice to an embedded norm within UNDP. It is referenced in strategic documents, reflected in new partnerships and supported by senior leadership.(link is external) This shift has been actively shaped by the Labs as agents of change (norm entrepreneurs) who have intentionally created the conditions for experimentation to take root. Experimentation within UNDP has passed through its initial stages of emergence, and as more actors within the organization and its ecosystems engage with experimentation as a credible method for addressing complex development challenges, one can argue that we are well into the cascading stage. However, to reach full internalization, experimentation must become an expected and resourced function rather than an optional approach. This means securing institutional support, dedicated funding and leadership buy-in to make experimentation a standard part of problem-solving at UNDP. The next milestone- internalization - is within reach, but it will require sustained effort to fully anchor experimentation as an organizational reflex.Experimentation in practice: the line between feasibility and rigorOne of the Labs’ key learnings is managing the tension between rigor and feasibility -- balancing evidence standards with development realities. Navigating between learning and action, research and implementation, has been crucial to making experimentation both meaningful and actionable. We use the term Feasible Rigor to describe the art of generating robust evidence within the constraints of real-world development actions. Across the network, teams found that every effective experiment—regardless of theme or geography—shared four essential components:  
                  
            
    



           Essential components of experimentation       
           Depending on the level of control, these can range from highly rigorous trials (e.g., randomized food voucher pilots in Paraguay) to more adaptive experiments (e.g., community recycling programs). What matters is not perfection, but transparency and learning.In our experience, experimentation involves taking on multiple strategic functions. It is helping to revitalize a forward-looking organizational culture by embedding capabilities such as foresight—illustrated by North Macedonia’s ""Dream Labs,"" where participatory foresight became an official platform for shaping the National Development Strategy. It also plays a key role in de-risking emerging tools and technologies, as seen in Panama, where AI was used to visualize future climate scenarios, helping inform municipal resilience planning. At the same time, experimentation is generating critical insights into complex development challenges—for example, in Paraguay, where different interventions were tested(link is external) to understand their effect on public perceptions of social protection systems. These diverse applications underscore how experimentation supports more adaptive and evidence-informed development. For a growing collection of experiments and use cases from across the network, visit the SDG Innovation Commons(link is external).  
                  
            
    



           In Kenya, “water scouts” and community members mapped over 1,200 water sources and 684 social amenities.       
           Experimenting with innovative tools for development Experimenting with the goal of embedding innovative tools for development is a pattern not just within the Labs and UNDP but also across broader country ecosystems. Crowd-mapping is one such tool initially used for data collection but increasingly recognized for its ability to enhance participation and awareness.In Kenya, herder communities became “water scouts” and mapped over 1,200 water sources and 684 social amenities. In the Maldives, residents mapped island infrastructure to help manage disaster risk. Meanwhile in Guatemala, more than 400 volunteers mapped rural roads using satellite imagery, and a digital tool was developed to assess infrastructure risks from natural disasters using geographic coordinates. In North Macedonia, an open call for crowd-mapping led to the public mapping of water infrastructure in the capital, inspiring civil society organizations like the Scouts Association to replicate the experiment in another city. In Serbia, UNDP used alternative data—satellite imagery, telecom records, and citizen input—to analyze migration patterns, with findings that informed national policy.Experimentation leads to emerging themes in the sustainable development landscapeReflecting on our Network journey and codifying our work, we learned that Labs were not just running individual experiments, they were building interconnected portfolios of work, stitching together themes such as circular economy, climate resilience and inclusive governance. What began as exploratory, one-off experiments have evolved into intentional systemic portfolios, reinforcing the value of experimentation as a method for tackling complex development challenges. By visualizing these connections, the Labs unlocked new opportunities for strategic alignment and influence within UNDP, but equally important, for the ecosystems where we work. Inspired by the idea to create a global innovation commons for sustainable development, we have published all our experiments on this website, with the goal to inspire action, and potentially inspire other organizations and institutions to pursue similar functions: https://sdg-innovation-commons.org/.  
                  
            
    



           An example of an Accelerator Lab’s emerging portfolio of experiments.       
           What’s Next? Experimentation as a core elementThe journey from early adoption to full internalization is ongoing. But one thing is clear: with continued commitment, experimentation is no longer just an option for development—it is becoming an expectation.Since 2020, the Labs have developed as a distributed R&D function for UNDP, producing timely, relevant, and localized insights for development programming across 115+ countries. The aim was to try out new ways of working and convert our learnings into new, practical action. The challenge for UNDP and other organizations going forward is clear: How can we ensure that experimentation moves beyond an emerging norm to become an institutionalized standard? To achieve this, we must ensure that experimentation is resourced and expected, not optional; embedded in country strategies and program cycles; and used to inform strategic shifts. As the development landscape grows more complex and uncertain, experimentation offers a path to clarity - not by providing perfect answers, but by asking the right questions, and testing what works - faster. If you are also working on experimentation in the development sector, we invite you to share your experiences, reach out to our network of Experimenters and check out our body of work in the SDG Commons(link is external)."
18203,"Renewable Energy Lessons From the Kitchen With Doña Petrona","Home
      
                
        Renewable Energy Lessons From The Kitchen With Doña Petrona
      
        

      
               Renewable Energy Lessons From the Kitchen With Doña Petrona      An ambitious project rolled out on rooftops in northern Argentina left behind lessons that challenge how we think about encouraging the adoption of new technologies. The UNDP Argentina Accelerator Lab looked into the experience, and in this blog we share what we learned about what makes — or breaks — the energy transition at the household level.       
		 August 15, 2025

    
                                       
            
    



             PNUD Argentina     
                  

      Author
  


                    
            
        
                                    
                
              
                                
                          
                Lorena Moscovich
              
                          
              
                 Jefa de Experimentación. Laboratorio de Aceleración de PNUD Argentina/ Head of Experimentation UNDP Argentina Accelerator Lab

              
                      
        
    
          
                
	
  
	
  
  
    
    
      	
        Sun at home
                    	
          PDF (15,406kb) 
              
      	
        
          Download
          
        
            
  



 
                                           Long before MasterChef hit the screens, Doña Petrona was already a cooking icon on Argentine television. Born in 1898, her cookbooks have sold more copies than the Bible in the country, reaching their 123rd edition, and it got translated into several languages — even Russian.In mid-20th century Argentina, millions of people learned how to use natural gas almost without realizing it. It didn’t happen through technical explanations, instruction manuals, or formal training. It happened through Doña Petrona. She never talked about valves, pressure, or energy efficiency. She taught people how to cook. And in doing so, she was also teaching them how to use a new energy source: natural gas. Making a shepherd’s pie or a homemade flan on live television became, unintentionally, a tutorial on how to light a burner, adjust the flame, or clean the stovetop. This kind of learning — rooted in everyday life and focused on what truly matters — is essential when we talk about technological innovation. Especially when that innovation is tied to basic rights, like access to energy.Between 2016 and 2017, over 4,000 solar water heaters were installed in social housing across the province of Jujuy, potentially reaching up to 16,000 people. These systems were specially designed to withstand the extreme temperature swings of the Puna region, with support from Fundación EcoAndina, an organization working with renewable energy since 1987. The goal was to harness solar energy as a tool to reduce energy poverty. This was a unique project for several reasons: its large scale, the geographic diversity of its implementation —spanning rural and urban areas, both small and large— and the wide range of infrastructure and socioeconomic conditions across the targeted communities. However, beyond the numbers and the magnitude of the logistical effort, the real question wasn’t how many devices were installed, but how many were actually used.  
           Renewable Energy: The Work of UNDP’s Co-Lab  
           Between May and June 2024, the UNDP Accelerator Lab in Argentina carried out a study to better understand the actual use of solar water heaters in social housing and the barriers to their adoption. Through surveys with 129 households, 10 in-depth interviews, and one focus group, this research offered firsthand insight into how — or why not — renewable technologies are adopted in contexts of energy poverty.The project Sun at Home: What Works to Adopt Renewable Energy in Social Housing led to a field study whose results we’re pleased to share in this report. One of the main findings was that, despite overwhelmingly positive opinions, the actual adoption of solar water heaters was quite limited: only 7% of households used it as their sole source of hot water, 35% combined it with electric or gas systems, and the remaining 58% didn’t use it at all. You can read the full report here.Among those who didn’t use the system, many never installed it, gave it away, sold it, or fully disconnected it. The reasons were varied: technical issues (like low water pressure, poor orientation that didn’t capture sunlight, or poor installation or substandard materials), unstable water networks, and precarious housing conditions.Yet the biggest obstacle was something else: there was no training or follow-up. The solar heaters were delivered without any hands-on guidance, and the only support offered was a technical manual. As a result, people were left to figure things out on their own — or, at best, rely on neighbors for help. The findings from the Jujuy experience align with others we’ve seen regarding the persistent barriers to the effective adoption of renewable energy solutions.  
         Video Player  
           What Did We Learn from the Solar Water Heater Experience in Jujuy?  
           Using a solar water heater should be as easy as frying an egg on Sunday morning. But for that to happen, you need more than just the technology — you need support. When people don’t understand how the system works, they make do. When the heater is poorly oriented, the water doesn’t get warm. When there’s no pressure, there’s not enough for a proper shower. And when no one explains what to do with the steam during summer, the device becomes a hazard instead of a solution.Even so, some users came up with their own strategies: they came up with fixes like adding drainpipes to relieve pressure and prevent boiling, installed mixers to regulate temperature, cleaned the glass panels to improve heating, adjusted usage times, and shared tips with neighbors. They learned through trial and error — and taught each other along the way.People in Jujuy learned however they could. Back in the day, Doña Petrona had been hired by Argentina’s national natural gas company to promote the shift from wood-burning stoves to natural gas. But she didn’t teach about gas. She showed people how to enjoy life more one recipe at a time.. In the case of solar water heaters, the challenge isn’t just technical — it’s cultural. It’s not enough to hand out devices: you need to be present — to listen, adapt, and truly walk alongside people. You must build trust — not just infrastructure.In innovation processes and in the promotion of new technologies, it’s essential to create experiences where people learn by doing. Ensuring the adoption of renewable energy solutions isn’t just about installing a panel or a solar water heater — it’s about understanding and supporting the routines, knowledge, and habits of those who will use them. In other words, it’s about teaching people how to use them without it feeling like a lesson. Like Doña Petrona. Like someone showing you how to fry an egg — and, without meaning to, transforming the lives of thousands of households."
18201,"Kraal Fireside talk sessions: Co-creating local Solutions to Cattle Raiding in South Sudan","Home
      
                
        South Sudan
      
                
        Kraal Fireside Talk Sessions: Co-creating Local Solutions To Cattle Raiding In South Sudan
      
        

      
               Kraal Fireside talk sessions: Co-creating local Solutions to Cattle Raiding in South Sudan        
		 August 12, 2025

    
                                       
            
    



             UNDP/2025     
                  

      Author
  


                    
            
        
                                    
                
              
                                
                          
                Jacqueline Aringu
              
                          
              
                Head of Experimentation, Acc Lab, UNDP South Sudan
              
                      
        
    
          
                                           Cattle raiding has long been a part of the cultural landscape in Narus and Budi counties, the semi-arid borderlands of Eastern Equatoria, where tradition and tension frequently coexist. This practice, which was once guided by ancient codes of honour, has changed over time, turning into violent disagreements, conflict between communities, and the loss of livelihoods. Recognizing the urgency and complexity of the issue, the UNDP South Sudan Accelerator Lab in collaboration with the Roots of Generation (ROG), conducted a follow-up co-creation workshop designed to identify solutions from within the community.The initiative was built on an earlier visit in May 2024, when the Lab, along with staff from the UNDP- Africa Borderlands Centre (UNDP-ABC) and Life & Peace Institute, who had travelled from Kenya and Ethiopia, visited the area. The ABC is UNDP's larger assistance for cross-border peace initiatives in the Karamoja corridor, which includes South Sudan, Uganda, Kenya, and Ethiopia; a region where national borders are porous, but communities, cultures, and conflict are shared.Our trip back to Narus and Budi was more than just a continuation; it was a connection, strengthening of bonds, sharing of knowledge, and a celebration of local innovation.   
                   
            
    



           Session with Kraal leaders:  Mzee Loraca, during the Co-creation sessions in Narus.      UNDP/2025     
           Fireside Chats: Rekindling Community DialogueDuring fireside discussion moments, we gathered with elders, women, and kraal youths for open discussions. These fireside exchanges were more than just symbolic; they were strong tools for surfacing shared histories, long-standing grievances, and community aspirations. In the past, cattle exchange strengthened clan ties and fostered relationships rather than destroying them, according to the elders, who are the custodians of oral history. Young people, who are frequently held responsible for raids, talked candidly about peer pressure, the lack of job opportunities, and how raids are glorified in society.   
                   
            
    



           Women and girls:  The most unheard yet the most impacted having moments of reflection and co-creation.      UNDP/2025     
           Empathy Mapping: Seeing the InvisibleThe first seeds of understanding and reconciliation were sown from these intimate discussions, and women—often the unseen and unheard but profoundly affected—spoke about their pain, resilience, and aspirations for change. From conversation to design. We led empathy mapping sessions, which used visual aids to analyze the words, thoughts, feelings, and actions of various actors in order to uncover more hidden truths. These conversations with various community groups were incredibly eye-opening. These maps turned into mirrors, reflecting a common burden and strong desire for peace and improved livelihood among the raided families, kraal youths, elders, and women. Communities were able to visualize the overlapping pain points and motivations by mapping the perspectives of local chiefs, mothers, herders, raiders, and even the cattle themselves (a metaphor that provoked both insight and laughter).This exercise surfaced emotional intelligence, the social and psychological effects of cattle raiding. The raided felt depressed, angry, unsettled, and frequently tempted to seek retaliation. They talked about the loss of their young people who were shot in the raids or injured, widowhood, orphanhood, abandoned lands, and the loss of loved ones. Those frequently referred to as ""the other"" were humanized by this process, which changed fear into curiosity and judgment into understanding.  
                   
            
    



           Kraal Youths from Kapoeta and Budi     UNDP/2025     
           One kraal youth, Lochia Lonok, 34, from Lopua boma, reflected:""I have participated in many cattle raids. I have raided, and my cows have been raided too. I have also seen the people I love being killed during cattle raids. There is nothing to gain in cattle raiding except for regrets. I really want us to stop this practice.""But things are starting to change. Elders are telling their sons that raiding holds no value, urging them instead to sell cattle for business, and to ""cut the chain of cattle raids by taking all children to school.”On the flipside of things, the empathy maps also showed how raiders are frequently praised, which feeds a vicious cycle of pride and suffering: ""The youth who raided felt great and felt praised in their communities.""    
                
           Persona Reflections: Voices from the Ground1.  Women and Girls in Kapoeta and BudiAged 21–45 and ranging from housewives to peace committee members, many of these women have lived in their communities for years. They described the consequences of cattle raiding as war/revenge killings, widowhood, displacement, and underdevelopment.“Cattle raids bring loss of lives, instability, orphans, and a decline in productivity,” shared by one woman from Budi.They expressed a strong desire for:•  Branding cattle (chip tagging technology) by county to prevent misidentification and theft•  Deployment of police in every boma•  Ending harmful cultural norms and denouncing raiders as ""suicidal & unemployed""•  Alternative livelihoods (commercializing cattle keeping) instead of killing and stealing.•  Demand for NGOs to expand support in farming and water access.Their coping strategies included speaking to their husbands and sons, advocating peace, and community policing. One culturally significant practice mentioned was the “pronouncement of a curse” as a deterrent against raiding.   
           2.  Kraal Youths from Kapoeta and BudiThese young men, mostly aged 23–30 and with limited formal education, described their role in raiding with painful honesty. Many still saw raiding as a culturally approved symbol of strength and manhood, but their views are beginning to shift.""Keeping cattle raids will incite more violence, hatred, and intercommunal conflict. This retards our communities in terms of development.""They emphasized:•  Holding raiders accountable•  Ending the normalization of violence•  Pursuing schooling and peaceful peer influence as a way out•  Viewing raiding as a community-driven problem, not just a youth issueWhile many still perceive raiders as “brave warriors,” they increasingly understand that true strength lies in choosing peace.   
           Co-Created Pathways ForwardThe workshop produced a number of community-driven ideas with profound insights from persona reflections and empathy mapping: we jointly developed early-stage solutions that combine conventional wisdom with contemporary insight:•  Peace Kraal Networks: Cross-county grazing corridors that are jointly and community monitored.•  Initiatives for Cattle Tagging: Innovative chip technology designed to stop theft and misidentification.•  Youth Dialogues & Livelihood Labs: Encourage education, entrepreneurship, and cooperative herding.•  Community Accountability Structures: Revive and strengthen local laws and give women and elders the authority to step in early.   
           In summaryThe problem of cattle raiding in Narus and Budi won't be resolved overnight. However, the chorus of reflection, from mothers to kraal youths, indicates a change in perspective. We saw a community prepared to rethink peace from within. The residents of these counties are demonstrating that long-lasting change can start with a spark, kindled by the fireside discussions, mapping, listening, and seeing through their lens. A community that used to view raiding as honorable now talks about trauma and a new form of bravery: the ability to stop. This co-creation initiative demonstrates that significant change is achievable when solutions are sourced from within.Otherwise, we are left not only with data, insights and photographs, but with a profound respect for resilience, creativity, and wisdom rooted in South Sudan’s pastoral heartland and above all, the echo of voices like Josephine Akii, 27, from Chukudum:“When I am pregnant, I expect to give birth to a son or daughter who should not feel the impact of cattle raiding as I have.”Her vision is not just a dream. It is a future that communities across Eastern Equatoria are beginning to build—one conversation, one photo, and one promise at a time."
18199,"Prototyping the future: what R&D teaches us about systems change","Prototyping the future: what R&D teaches us about systems change
By Alberto Cottica and Gina Lucarelli
“It’s more complicated than that.”
For as long as we can remember, would-be reformers — including development professionals — have been struggling to anticipate the consequences of their actions. Policies that look solid on paper fail or produce unforeseen side effects. Starting in the 1980s, the science of complex adaptive systems gave us new concepts to talk about these phenomena: “rebound effects,” “feedback loops,” “tipping points,” “phase transitions,” and so on.
Understanding that systems transformation is complex is one thing. Knowing how to transform systems with reliable success is quite another. With this in mind, we at UNDP designed the plenary session on “Alternative Economic and Financial Models” at the Istanbul Innovation Days 2025 to foreground the how. We wanted to hear from people that were approaching systems transformation as practitioners and could tell us about what transforming a system looks like seen from the field. We were privileged to land on an all-stars panel. Eduard Müller explained how Costa Rica Regenerativa intervened on food systems value chains to create prosperity and regenerate the region’s biodiversity. Natalia Arjomand showed us Second Muse Capital’s novel financial instruments to channel patient finance to shared-ownership businesses. Giacomo Pinaffo gave us a taste of Fondazione Comunità Messina’s approach of endowing local communities with productive assets to enable the production of “relational goods” that encode values of solidarity and dignity. Miles Kubheka recounted Wakanda’s work to use food as a relational good to create employment and social cohesion.
The panelists’ contributions resonate with UNDP’s own work on how to bridge the gap between the theory and the practice of systems transformation. We do this work with research and development (R&D) activities, many of which live in the Accelerator Labs Network. Through our 2024 R&D Raves we surfaced and curated innovations and prototypes whose common trait was that they emerge from local communities, as they see new ways to improve their own lives and well-being. Like those in the panel, these innovations are driven by bottom-up need and ingenuity rather than top-down strategic decisions. They point to clearly defined theories of change, and to questions that those communities (and we with them) can address to consolidate their initial results and gain more options.
Lilian Masiye, once a thriving market trader in Zambia, adapted to COVID-19 challenges by pooling resources with others to sustain her business. Supported by the UNDP and the Africa Borderlands Centre Innovation Challenge, she gained vital digital, financial, and entrepreneurial skills. Photo: UNDP Zambia/Moses Zangar Jr.
Learning from R&D on digital financial inclusion: how social cohesion can substitute for credit histories
Development financing is one of the three enablers of UNDP’s strategic plan 2022–2025. In 2019, UNDP established a Sustainable Finance Hub to better enable partners to accelerate financing for the Sustainable Development Goals. With 1.4 billion adults still lacking access to bank accounts, the Accelerator Labs’ work in this area has focused on financial inclusion. Just as the digital revolution is leading to financial institutions shutting down local branches and concentrating activities at headquarters, UNDP documented how proximity and community can enable inclusion.
Traditional forms of community saving are present everywhere in the world, and even the poorest have access to them, simply because their neighbors know them well enough to share a common pot of savings. R&D allows for the prototyping of digital tools to scale these initiatives and connect them with the more formal financial system. For example, somebody’s participation in a neighborhood savings group — once digitally recorded — might be accepted by a regular bank as credit history, allowing that person to open a bank account and accessing credit. Early successes in South Sudan and Zambia showed that approaches combining digital technology and proximity networks of trust between neighbors can enhance financial inclusion. The R&D Rave on digital financial inclusion identified promising ways to build on such successes. For example, we discovered low trust in digital financial services, which is likely to slow down their uptake. The Accelerator Labs are considering a global hackathon to explore new ways of creating trust between communities and service providers.
Learning from R&D on the circular economy: how waste management lays the groundwork for circularity
UNDP and its Chemicals and Waste Hub take the view that it is no longer possible to separate the ”development and growth” agenda from the “environment and climate” one. Rather, economies must be transformed to incorporate environmental agendas. UNDP’s R&D work in this area has highlighted pathways to bootstrap circular ambitions into economies at various stages of industrial development. Solid waste management is one such path. Global Majority countries are awash in single-use plastics. As they set out to modernize waste management services, they become exposed to the idea of a circular economy. Unfortunately, information about the location, composition and circular potential of waste is often incomplete.
This has prompted many Accelerator Labs to localize illegal dumpsites; analyze the composition of waste streams; assess its recycling potential; map the daily runs of informal waste collectors. Once this information is organized — often in rich, complex maps, such as this one in Panama — opportunities emerge to make those economies more circular. Additionally, extending health insurance schemes to informal waste-pickers turns out to be a way to increase volumes and quality of collected waste, as well as to protect the health of vulnerable informal workers. In Tanzania, the Lab partnered with the Taka ni Ajira Foundation on the Waste Banks initiative which collects daily waste data from pickers and creates a credit score matrix based on the data. The result was a bespoke microinsurance product for informal waste pickers.
R&D has also surfaced pathways to circularity in unexpected places, like the buildup of the industrial capacity of small businesses to close some materials loops (Mongolia), or the elevation of informal networks of waste pickers and sorters into full-fledged green businesses (Ethiopia).
Our bottom-up R&D process pointed to several promising directions for future work to make the economy more circular. For example, the Accelerator Labs are looking to systematically map indigenous practices of sustainable resource management, and to learn from them. The idea is to develop an array of culturally intuitive practices that can be integrated into modern circular systems. Another promising direction is prototyping digital tokens to enable citizens to directly invest in “their” circular infrastructure — like community composting facilities or hydroponic agriculture systems. This has the potential to create community ownership of a circular approach and share its benefits, while reducing upfront costs.
Learning from R&D on food systems: local pathways to systems change
UNDP sees food systems as deeply connected with the efforts to combat climate change, protect ecosystems and ́support livelihoods. Its Food Systems team focuses on forest positive agriculture, sustainable production landscapes and food systems transformation, via a systems thinking, multi-stakeholder approach. R&D work in this area explores roads less travelled. The Accelerator Labs support “local moonshots” for regions to become more self-sufficient when it comes to food production, in the interest of food security (Philippines): build up solar-powered processing capacity for food produce, enabling farmers to capture a higher share of its added value (Malaysia): shape consumer markets so that they will demand climate-resilient crops (Egypt); experiment with locally sourced non-chemical pesticides (Zimbabwe, Lesotho); produce and aggregate open data, and curate data collectives to support precision agriculture and investment (India).
Going forward the UNDP Accelerator Labs Network envisions activities such as integrating food waste and orphaned crops (which have an inherent local dimension) into various value-added streams like local cuisine, artisanal products, and tourism. The goal of these initiatives is to learn how to build on under-utilized, local foodstuffs and contribute to regional economies. Another highly promising direction for work is to build a knowledge- and data base of food waste, since food waste has a high potential for circularity.
Community members from Keningau, Malaysia were trained to operate the SMART solar dryer and to process and dry produce from their farms. UNDP Malaysia
Towards a manageable systems transformation through R&D
As we reflect on our R&D Raves, we find ourselves feeling more hopeful than when we started. Systems transformation is a hard task, but it need not be impossible. R&D offers a possible way forward. The UNDP Malaysia Accelerator Lab, for example, supported a marginalized community in Moyong, in the state of Sabah in 2021 when local producers lost access to the market due to COVID restrictions. The Lab responded by developing a simple e-commerce platform and supporting local businesses to learn to use it to sell their products online. Once that was up, and working well, those producers quickly realized that they were no longer limited to selling their products locally: they could ship anywhere — in theory. In practice, though, that meant getting the logistics right: long-distance shipping was quite expensive with respect to the price of the products themselves.
To address this problem, the Lab had the e-commerce platform pivot from retail to wholesale, to take advantage of economies of scale in shipping. Solving this challenge immediately created a new one: some processing was needed to lengthen the shelf-life of products, as well as increase their added value. In the case of dried fruit, one of the best-selling products, it became apparent that oven drying was too expensive and operated at an insufficient scale.
